train,"{'mae': 0.15142425894737244, 'rmse': 0.25408318638801575}","{'mae': 0.8616599440574646, 'rmse': 1.9723726511001587}"
val,"{'mae': 0.010122942738234997, 'rmse': 0.012083125300705433}","{'mae': 0.23884941637516022, 'rmse': 0.34994345903396606}"
train,"{'mae': 0.008503456600010395, 'rmse': 0.010635058395564556}","{'mae': 0.13090264797210693, 'rmse': 0.1994117796421051}"
val,"{'mae': 0.005602728575468063, 'rmse': 0.007015441078692675}","{'mae': 0.08687321096658707, 'rmse': 0.1307872235774994}"
train,"{'mae': 0.0055826930329203606, 'rmse': 0.00695929117500782}","{'mae': 0.0694093257188797, 'rmse': 0.10585203021764755}"
val,"{'mae': 0.004251223988831043, 'rmse': 0.005196118727326393}","{'mae': 0.06042313948273659, 'rmse': 0.09292704612016678}"
train,"{'mae': 0.004612395074218512, 'rmse': 0.0057469820603728294}","{'mae': 0.05304097756743431, 'rmse': 0.08158362656831741}"
val,"{'mae': 0.0035423575900495052, 'rmse': 0.004224143922328949}","{'mae': 0.04907902702689171, 'rmse': 0.07693850994110107}"
train,"{'mae': 0.0038452583830803633, 'rmse': 0.004804119002074003}","{'mae': 0.04378863424062729, 'rmse': 0.06799253821372986}"
val,"{'mae': 0.0032955992501229048, 'rmse': 0.004267269745469093}","{'mae': 0.0414971262216568, 'rmse': 0.06653907150030136}"
train,"{'mae': 0.0033315294422209263, 'rmse': 0.004161075688898563}","{'mae': 0.0379512794315815, 'rmse': 0.05929875373840332}"
val,"{'mae': 0.0028356180991977453, 'rmse': 0.0032993312925100327}","{'mae': 0.036876432597637177, 'rmse': 0.05939251556992531}"
train,"{'mae': 0.002994472160935402, 'rmse': 0.003760575782507658}","{'mae': 0.033867765218019485, 'rmse': 0.05324312299489975}"
val,"{'mae': 0.002776225795969367, 'rmse': 0.003227841341868043}","{'mae': 0.03328798711299896, 'rmse': 0.05428984388709068}"
train,"{'mae': 0.0028267886955291033, 'rmse': 0.003519752761349082}","{'mae': 0.030886059626936913, 'rmse': 0.048670507967472076}"
val,"{'mae': 0.002168006030842662, 'rmse': 0.002695702714845538}","{'mae': 0.030628090724349022, 'rmse': 0.0499986931681633}"
train,"{'mae': 0.0025446037761867046, 'rmse': 0.003209256799891591}","{'mae': 0.028677968308329582, 'rmse': 0.04520241171121597}"
val,"{'mae': 0.0023263520561158657, 'rmse': 0.0027201466728001833}","{'mae': 0.028827568516135216, 'rmse': 0.047148726880550385}"
train,"{'mae': 0.0024423650465905666, 'rmse': 0.003055816050618887}","{'mae': 0.026657700538635254, 'rmse': 0.041944507509469986}"
val,"{'mae': 0.002096755662932992, 'rmse': 0.002482330659404397}","{'mae': 0.026563644409179688, 'rmse': 0.04392629116773605}"
train,"{'mae': 0.0022984372917562723, 'rmse': 0.0028847274370491505}","{'mae': 0.0249676201492548, 'rmse': 0.03927118331193924}"
val,"{'mae': 0.0022579762153327465, 'rmse': 0.002798552392050624}","{'mae': 0.025331346318125725, 'rmse': 0.041367314755916595}"
train,"{'mae': 0.002156588016077876, 'rmse': 0.002740700962021947}","{'mae': 0.02354113757610321, 'rmse': 0.036960192024707794}"
val,"{'mae': 0.001733998884446919, 'rmse': 0.0021179288160055876}","{'mae': 0.02363116480410099, 'rmse': 0.03863033652305603}"
train,"{'mae': 0.00239331996999681, 'rmse': 0.0029986081644892693}","{'mae': 0.022355899214744568, 'rmse': 0.03492968901991844}"
val,"{'mae': 0.002478410257026553, 'rmse': 0.0029391224961727858}","{'mae': 0.021866442635655403, 'rmse': 0.03614180162549019}"
train,"{'mae': 0.0021419248078018427, 'rmse': 0.002705727005377412}","{'mae': 0.0212142001837492, 'rmse': 0.033114369958639145}"
val,"{'mae': 0.0036029680632054806, 'rmse': 0.003981020301580429}","{'mae': 0.020829373970627785, 'rmse': 0.03430735319852829}"
train,"{'mae': 0.002372666960582137, 'rmse': 0.0029363068751990795}","{'mae': 0.020294679328799248, 'rmse': 0.03154975175857544}"
val,"{'mae': 0.001651309197768569, 'rmse': 0.0021500324364751577}","{'mae': 0.0202462300658226, 'rmse': 0.033685218542814255}"
train,"{'mae': 0.0018956573912873864, 'rmse': 0.002399076009169221}","{'mae': 0.01937897689640522, 'rmse': 0.030160291120409966}"
val,"{'mae': 0.002677306067198515, 'rmse': 0.0030945732723921537}","{'mae': 0.019173022359609604, 'rmse': 0.030584996566176414}"
train,"{'mae': 0.0018985375063493848, 'rmse': 0.002420538803562522}","{'mae': 0.018809812143445015, 'rmse': 0.02909395471215248}"
val,"{'mae': 0.0017627017805352807, 'rmse': 0.0021178496535867453}","{'mae': 0.019159818068146706, 'rmse': 0.03020455501973629}"
train,"{'mae': 0.0017697520088404417, 'rmse': 0.0022432312835007906}","{'mae': 0.018204927444458008, 'rmse': 0.028053078800439835}"
val,"{'mae': 0.0014507094165310264, 'rmse': 0.0018723360262811184}","{'mae': 0.018491700291633606, 'rmse': 0.029492370784282684}"
train,"{'mae': 0.0018083268078044057, 'rmse': 0.002267953474074602}","{'mae': 0.01748686656355858, 'rmse': 0.02684459462761879}"
val,"{'mae': 0.0016496663447469473, 'rmse': 0.0019760243594646454}","{'mae': 0.017651962116360664, 'rmse': 0.02780875936150551}"
train,"{'mae': 0.0017779963091015816, 'rmse': 0.002247873228043318}","{'mae': 0.01681523025035858, 'rmse': 0.02572859451174736}"
val,"{'mae': 0.001569442916661501, 'rmse': 0.0019224185962229967}","{'mae': 0.016682924702763557, 'rmse': 0.026927156373858452}"
train,"{'mae': 0.0018783222185447812, 'rmse': 0.002364303218200803}","{'mae': 0.016483554616570473, 'rmse': 0.025245171040296555}"
val,"{'mae': 0.0015477618435397744, 'rmse': 0.0018758669029921293}","{'mae': 0.01666114293038845, 'rmse': 0.02593669667840004}"
train,"{'mae': 0.0016420813044533134, 'rmse': 0.0020828002598136663}","{'mae': 0.016096491366624832, 'rmse': 0.024468908086419106}"
val,"{'mae': 0.0014482405968010426, 'rmse': 0.001854043803177774}","{'mae': 0.01659887656569481, 'rmse': 0.025441685691475868}"
train,"{'mae': 0.001888967934064567, 'rmse': 0.002352876588702202}","{'mae': 0.015908174216747284, 'rmse': 0.024053296074271202}"
val,"{'mae': 0.0013549136929214, 'rmse': 0.0017462088726460934}","{'mae': 0.015544209629297256, 'rmse': 0.024124208837747574}"
train,"{'mae': 0.0020785427186638117, 'rmse': 0.002598084742203355}","{'mae': 0.015323392115533352, 'rmse': 0.023083418607711792}"
val,"{'mae': 0.001530711306259036, 'rmse': 0.0018657937180250883}","{'mae': 0.015887295827269554, 'rmse': 0.02448011375963688}"
train,"{'mae': 0.0017549359472468495, 'rmse': 0.0022148662246763706}","{'mae': 0.015562908723950386, 'rmse': 0.023433974012732506}"
val,"{'mae': 0.0013896282762289047, 'rmse': 0.0017895296914502978}","{'mae': 0.015231361612677574, 'rmse': 0.023365627974271774}"
train,"{'mae': 0.0017642691964283586, 'rmse': 0.002218055073171854}","{'mae': 0.01476265024393797, 'rmse': 0.02217891812324524}"
val,"{'mae': 0.001970675541087985, 'rmse': 0.0023438776843249798}","{'mae': 0.014458071440458298, 'rmse': 0.02262873947620392}"
train,"{'mae': 0.00209851935505867, 'rmse': 0.002602336695417762}","{'mae': 0.014327460899949074, 'rmse': 0.021476447582244873}"
val,"{'mae': 0.002575821476057172, 'rmse': 0.002917699282988906}","{'mae': 0.014493199996650219, 'rmse': 0.022327924147248268}"
train,"{'mae': 0.0017434157198294997, 'rmse': 0.0021842122077941895}","{'mae': 0.014265313744544983, 'rmse': 0.021263472735881805}"
val,"{'mae': 0.0019157087663188577, 'rmse': 0.002314257202669978}","{'mae': 0.01423303410410881, 'rmse': 0.02202470786869526}"
train,"{'mae': 0.0020379817578941584, 'rmse': 0.0025280036497861147}","{'mae': 0.014169851318001747, 'rmse': 0.021164000034332275}"
val,"{'mae': 0.0032486780546605587, 'rmse': 0.003506327513605356}","{'mae': 0.013847922906279564, 'rmse': 0.021191498264670372}"
train,"{'mae': 0.0018371682381257415, 'rmse': 0.00228200969286263}","{'mae': 0.013769451528787613, 'rmse': 0.020412245765328407}"
val,"{'mae': 0.0012489415239542723, 'rmse': 0.0015799455577507615}","{'mae': 0.014381859451532364, 'rmse': 0.021826064214110374}"
train,"{'mae': 0.0014887379948049784, 'rmse': 0.0019030163530260324}","{'mae': 0.013788856565952301, 'rmse': 0.02046552114188671}"
val,"{'mae': 0.0012544074561446905, 'rmse': 0.0016298401169478893}","{'mae': 0.014327449724078178, 'rmse': 0.022102652117609978}"
train,"{'mae': 0.0015806453302502632, 'rmse': 0.002000553533434868}","{'mae': 0.013607901521027088, 'rmse': 0.02007843367755413}"
val,"{'mae': 0.0012358181411400437, 'rmse': 0.0015842351131141186}","{'mae': 0.014774424023926258, 'rmse': 0.022677114233374596}"
train,"{'mae': 0.0015180644113570452, 'rmse': 0.001937385182827711}","{'mae': 0.01373132411390543, 'rmse': 0.02023285999894142}"
val,"{'mae': 0.0012421051505953074, 'rmse': 0.0015963511541485786}","{'mae': 0.013833318836987019, 'rmse': 0.020801030099391937}"
train,"{'mae': 0.0016401847824454308, 'rmse': 0.002057899022474885}","{'mae': 0.013217550702393055, 'rmse': 0.019454356282949448}"
val,"{'mae': 0.002121859695762396, 'rmse': 0.0025003072805702686}","{'mae': 0.013444413430988789, 'rmse': 0.020526491105556488}"
train,"{'mae': 0.0016055549494922161, 'rmse': 0.0020140851847827435}","{'mae': 0.01298320572823286, 'rmse': 0.019063858315348625}"
val,"{'mae': 0.0012518210569396615, 'rmse': 0.0015743604162707925}","{'mae': 0.01318956445902586, 'rmse': 0.020036252215504646}"
train,"{'mae': 0.001957467757165432, 'rmse': 0.0023986403830349445}","{'mae': 0.013056723400950432, 'rmse': 0.019173648208379745}"
val,"{'mae': 0.001862530829384923, 'rmse': 0.0022221864201128483}","{'mae': 0.01344227883964777, 'rmse': 0.019920755177736282}"
train,"{'mae': 0.0015224089147523046, 'rmse': 0.001899958006106317}","{'mae': 0.01288837194442749, 'rmse': 0.018922090530395508}"
val,"{'mae': 0.0013034375151619315, 'rmse': 0.0016448411624878645}","{'mae': 0.012936802580952644, 'rmse': 0.01934024691581726}"
train,"{'mae': 0.001642813440412283, 'rmse': 0.0020854074973613024}","{'mae': 0.012938733212649822, 'rmse': 0.01890510320663452}"
val,"{'mae': 0.0012339112581685185, 'rmse': 0.0015889742644503713}","{'mae': 0.012942276895046234, 'rmse': 0.019306616857647896}"
train,"{'mae': 0.0016603668918833137, 'rmse': 0.002053145319223404}","{'mae': 0.012778231874108315, 'rmse': 0.018692132085561752}"
val,"{'mae': 0.001196270459331572, 'rmse': 0.0015359704848378897}","{'mae': 0.013789967633783817, 'rmse': 0.02061501145362854}"
train,"{'mae': 0.0016150247538462281, 'rmse': 0.0020595015957951546}","{'mae': 0.012958926148712635, 'rmse': 0.018888097256422043}"
val,"{'mae': 0.0012327558360993862, 'rmse': 0.0015718670329079032}","{'mae': 0.0135184982791543, 'rmse': 0.020274760201573372}"
train,"{'mae': 0.0015607498353347182, 'rmse': 0.001991072902455926}","{'mae': 0.012543175369501114, 'rmse': 0.01828128471970558}"
val,"{'mae': 0.0019254547078162432, 'rmse': 0.0023097984958440065}","{'mae': 0.013028161600232124, 'rmse': 0.01938251033425331}"
train,"{'mae': 0.0014388447161763906, 'rmse': 0.0018437346443533897}","{'mae': 0.012483076192438602, 'rmse': 0.018210794776678085}"
val,"{'mae': 0.0014060348039492965, 'rmse': 0.0017183799063786864}","{'mae': 0.012688876129686832, 'rmse': 0.018819138407707214}"
train,"{'mae': 0.0014595063403248787, 'rmse': 0.001848225248977542}","{'mae': 0.012437411583960056, 'rmse': 0.01808893121778965}"
